text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @FNATIC: The blood on a battlefield comes from those who stood.

But what grows after is colours of a region proud, learned, wounded, st…",FALSE,0,NA,2019-10-27T01:40:11Z,FALSE,NA,1188269127120457730,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fnatic_Mcc,798,TRUE,FALSE,NA,NA
RT @LEC: Kai'Sa locked in! #Worlds2019 https://t.co/BF7O1MRzn9,FALSE,0,NA,2019-10-27T01:39:57Z,FALSE,NA,1188269066429054977,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MillerNachazel,270,TRUE,FALSE,NA,NA
RT @lolesports: When you've accepted your fate... #Worlds2019 https://t.co/QxjznZBg3N,FALSE,0,NA,2019-10-27T01:39:46Z,FALSE,NA,1188269024003706880,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cjonathanj_,716,TRUE,FALSE,NA,NA
RT @ierrejon: Este fin de semana se congregan en Madrid miles de personas con motivo de los cuartos de final de los #Worlds2019 de League o…,FALSE,0,NA,2019-10-27T01:39:46Z,FALSE,NA,1188269020178452480,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Chikidosnosos,607,TRUE,FALSE,NA,NA
"RT @invgaming: #Worlds2019 quarterfinal 
cr: @Yicun_liu https://t.co/desTqqPOS7",FALSE,0,NA,2019-10-27T01:39:45Z,FALSE,NA,1188269019939459078,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",David__DeLaRosa,28,TRUE,FALSE,NA,NA
RT @lolesports: PENTAKILL FOR VIPER! #Worlds2019 https://t.co/UYSmRqzbHQ,FALSE,0,NA,2019-10-27T01:38:50Z,FALSE,NA,1188268788535287808,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",monster199709,1700,TRUE,FALSE,NA,NA
"RT @G2esports: It's okay @FNATIC, @G2Caps and @CarlosR are here to help! #Worlds2019 

Reverse sweep time. Keep the all EU final dream aliv…",FALSE,0,NA,2019-10-27T01:37:41Z,FALSE,NA,1188268499665207297,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kotibuu,336,TRUE,FALSE,NA,NA
"RT @melaogustavo: Não confie nas pessoas. Não espere o melhor delas...

Meu bolão foi pro saco. Obrigado, Griffin!!!

#Worlds2019",FALSE,0,NA,2019-10-27T01:37:32Z,FALSE,NA,1188268459949469696,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Santificied,287,TRUE,FALSE,NA,NA
"RT @FNATIC: The blood on a battlefield comes from those who stood.

But what grows after is colours of a region proud, learned, wounded, st…",FALSE,0,NA,2019-10-27T01:37:11Z,FALSE,NA,1188268372284395521,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",360p_sadboy,798,TRUE,FALSE,NA,NA
"RT @peterk88: here we go 
...let’s get this party started 
discover NO FUSS NO MUSS WINNING BLACKJACK 
aggressive moneymaker 
#free tutoria…",FALSE,0,NA,2019-10-27T01:37:02Z,FALSE,NA,1188268333600296962,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",peterk88,0,TRUE,FALSE,NA,NA
"RT @invgaming: #Worlds2019 knockout stage

We have managed to take down worthy opponent Griffin with 3:1 and advance to semifinals!! 

Our…",FALSE,0,NA,2019-10-27T01:36:58Z,FALSE,NA,1188268317196206080,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mikkooozz,93,TRUE,FALSE,NA,NA
"RT @Official_LJL: 【#Worlds2019 Knockout Stage Day 1】

本日Day 1ではLPL代表・Invictus GamingがLCK代表・Griffinに勝利、そして同じくLPL代表・FunPlus PhoenixがLEC代表・Fna…",FALSE,0,NA,2019-10-27T01:36:32Z,FALSE,NA,1188268207938818050,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GaiaTano,86,TRUE,FALSE,NA,NA
RT @G2esports: Celebrating 3-0 weekend #Worlds2019 https://t.co/gTfXeQi7g0,FALSE,0,NA,2019-10-27T01:36:06Z,FALSE,NA,1188268097494568960,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dgeus27,214,TRUE,FALSE,NA,NA
RT @lolesports: .@FPX_Esports defeat @FNATIC in game four and advance to the 2019 World Championship Semifinals! #FPXWIN #Worlds2019 https:…,FALSE,0,NA,2019-10-27T01:35:34Z,FALSE,NA,1188267965814173702,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",xiiiuuu111,254,TRUE,FALSE,NA,NA
Busy night for me. #Riders #RiderNation #habs #Worlds2019 #needmorebandwidth https://t.co/WdbJiExWlh,FALSE,0,NA,2019-10-27T01:35:34Z,FALSE,NA,1188267965000622080,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RDexB33,0,FALSE,FALSE,NA,NA
RT @lolesports: PENTAKILL FOR VIPER! #Worlds2019 https://t.co/UYSmRqzbHQ,FALSE,0,NA,2019-10-27T01:35:31Z,FALSE,NA,1188267950953783297,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Giannmarcc,1700,TRUE,FALSE,NA,NA
"RT @invgaming: #Worlds2019 quarterfinal 
cr: @Yicun_liu https://t.co/desTqqPOS7",FALSE,0,NA,2019-10-27T01:34:55Z,FALSE,NA,1188267801250680833,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",qianlee7085,28,TRUE,FALSE,NA,NA
Pese a la derrota en el juego #3 y estar abajo 4-0 en el juego #4 de esta #Worlds2019 los @Nationals (2-1) siguen s… https://t.co/p8mszUUJw6,FALSE,0,NA,2019-10-27T01:34:52Z,TRUE,NA,1188267790488219648,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",vic_warrior,0,FALSE,FALSE,NA,NA
RT @ierrejon: Este fin de semana se congregan en Madrid miles de personas con motivo de los cuartos de final de los #Worlds2019 de League o…,FALSE,0,NA,2019-10-27T01:34:33Z,FALSE,NA,1188267711299760130,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PierriJuani,607,TRUE,FALSE,NA,NA
acho que nunca antes teve um bolão em que 7 dos 8 times das quartas de final realmente tinham chance de serem campeões #Worlds2019,FALSE,0,NA,2019-10-27T01:34:24Z,FALSE,NA,1188267672481480705,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",_confessorq,0,FALSE,FALSE,NA,NA
RT @CaptainFlowers: I'm withdrawing from the rest of #Worlds2019. I got sick right after arriving in EU and I'm just not getting better. I'…,FALSE,0,NA,2019-10-27T01:34:23Z,FALSE,NA,1188267669063159808,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",patochu321,126,TRUE,FALSE,NA,NA
RT @VANVANprj: #Worlds2019 @FPX_Esports goes to semifinals! @InvenGlobal https://t.co/6ZfGC2fQm8,FALSE,0,NA,2019-10-27T01:33:53Z,FALSE,NA,1188267542889914368,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",xiiiuuu111,9,TRUE,FALSE,NA,NA
RT @lolesports: The 2019 World Championship Quarterfinals continue tomorrow at 4AM PDT / 12PM CET with @T1LoL vs @Splyce followed by @Damwo…,FALSE,0,NA,2019-10-27T01:33:43Z,FALSE,NA,1188267500867411968,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Timothy007A,134,TRUE,FALSE,NA,NA
"RT @AshleyKang: As I gaze up the stage and the game, the stadium shaking around me, drowning 

I realize what a crazy ride this #Worlds2019…",FALSE,0,NA,2019-10-27T01:33:38Z,FALSE,NA,1188267479866335233,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",xflashrunnerx,10,TRUE,FALSE,NA,NA
Finally able to stay up for a #Worlds2019 gm. Been enjoying it thus far. Boo nats!,FALSE,0,NA,2019-10-27T01:33:31Z,FALSE,NA,1188267447171846144,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",caffienefeen,0,FALSE,FALSE,NA,NA
RT @sjokz: VAMOS! #WORLDS2019 🇪🇸 https://t.co/4xxh5oCVSI,FALSE,0,NA,2019-10-27T01:33:28Z,FALSE,NA,1188267435671072768,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",robakobre,1302,TRUE,FALSE,NA,NA
RT @LCSOfficial: Watching #Worlds2019 Quarterfinals from home like... 😢 https://t.co/oktegWUJwV,FALSE,0,NA,2019-10-27T01:33:19Z,FALSE,NA,1188267400598179842,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",xflashrunnerx,194,TRUE,FALSE,NA,NA
RT @ierrejon: Este fin de semana se congregan en Madrid miles de personas con motivo de los cuartos de final de los #Worlds2019 de League o…,FALSE,0,NA,2019-10-27T01:33:11Z,FALSE,NA,1188267366532157440,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",XayahFenixheart,607,TRUE,FALSE,NA,NA
#TuSerieMundial @sunnymac78 aquí viendo el juego 4 #Astros #Nats #Worlds2019,FALSE,0,NA,2019-10-27T01:32:56Z,FALSE,NA,1188267303302909953,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Luis_Servin,0,FALSE,FALSE,NA,NA
RT @LCSOfficial: Watching #Worlds2019 Quarterfinals from home like... 😢 https://t.co/oktegWUJwV,FALSE,0,NA,2019-10-27T01:32:51Z,FALSE,NA,1188267280842534912,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kylianmbop,194,TRUE,FALSE,NA,NA
